aX,aY,aZ,gX,gY,gZ
0.00400000,0.00160000,0.10100000,-0.00224000,-0.00063000,0.00084000
0.00130000,-0.00040000,0.10290000,0.00035000,-0.00084000,-0.00007000
0.00380000,-0.00100000,0.10390000,0.00168000,-0.00161000,-0.00147000
0.00640000,-0.00010000,0.10230000,0.00056000,-0.00385000,-0.00168000
0.00640000,-0.00010000,0.10230000,0.00056000,-0.00385000,-0.00168000
0.00650000,0.00070000,0.09820000,-0.00175000,-0.00497000,-0.00077000
0.00530000,0.00180000,0.10110000,-0.00056000,-0.00280000,0.00056000
0.00410000,0.00130000,0.10100000,0.00091000,-0.00035000,0.00091000
0.00390000,0.00220000,0.10200000,-0.00147000,-0.00301000,0.00077000
0.00440000,0.00040000,0.10080000,-0.00315000,-0.00399000,-0.00112000
0.00440000,0.00040000,0.10080000,-0.00315000,-0.00588000,-0.00119000
0.00450000,-0.00130000,0.09880000,-0.00266000,-0.00588000,-0.00119000
0.00510000,0.00070000,0.10050000,0.00189000,-0.00434000,0.00091000
0.00570000,0.00270000,0.09980000,0.00651000,0.00014000,0.00091000
0.00520000,0.00300000,0.10210000,0.00490000,0.00098000,0.00007000
0.00320000,0.00170000,0.10140000,-0.00490000,-0.00364000,0.00077000
0.00300000,0.00140000,0.10180000,-0.00203000,-0.00294000,0.00077000
0.00300000,0.00140000,0.10180000,-0.00203000,-0.00294000,0.00077000
0.00430000,0.00110000,0.10040000,-0.00161000,-0.00378000,0.00063000
0.00430000,0.00110000,0.10040000,-0.00161000,-0.00329000,0.00098000
0.00500000,0.00130000,0.10260000,-0.00077000,-0.00329000,0.00098000
0.00370000,0.00160000,0.10070000,-0.00105000,-0.00329000,0.00112000
